URL,Version,Status,OIDs,Name,Title,Descriptino,Used
http://ig-ichombreastcancer.gabriellesantosleandro.com/CodeSystem/AgreementResponseCodeSystem,1.0.0,active,,AgreementResponseCodeSystem,Agreement response CodeSystem,"Codes used in a Patient Reported Outcomes Instrument to express the degree of agreement",
http://ig-ichombreastcancer.gabriellesantosleandro.com/CodeSystem/BreastSurgeryTypesCodeSystem,1.0.0,active,,BreastSurgeryTypesCodeSystem,Breast surgery types CodeSystem,"Codes indicating the types of breast surgery a patient underwent",
http://ig-ichombreastcancer.gabriellesantosleandro.com/CodeSystem/ComplicationImpactCodeSystem,1.0.0,active,,ComplicationImpactCodeSystem,Impact of complication CodeSystem,"Codes indicating the impact of a complication experienced by the breast cancer patient",
http://ig-ichombreastcancer.gabriellesantosleandro.com/CodeSystem/ComplicationTypeCodeSystem,1.0.0,active,,ComplicationTypeCodeSystem,Type of complication CodeSystem,"Codes indicating the type of a complication experienced by the breast cancer patient",
http://ig-ichombreastcancer.gabriellesantosleandro.com/CodeSystem/ImplantLocationCodeSystem,1.0.0,active,,ImplantLocationCodeSystem,Location of the implant CodeSystem,"Codes indicating the location of the implant that was placed during reconstruction surgery",
http://ig-ichombreastcancer.gabriellesantosleandro.com/CodeSystem/MolecularProfilingCodeSystem,1.0.0,active,,MolecularProfilingCodeSystem,Molecular Profiling CodeSystem,"Codes used to describe the different types of molecular profiling scoring",
http://ig-ichombreastcancer.gabriellesantosleandro.com/CodeSystem/PatientEducationCodeSystem,1.0.0,active,,PatientEducationCodeSystem,Patient Treatment Education Codesystem,"Codes covering if the patient received sufficient information about the treatment options",
http://ig-ichombreastcancer.gabriellesantosleandro.com/CodeSystem/PatientTreatPrefCodeSystem,1.0.0,active,,PatientTreatPrefCodeSystem,Patient treatment preference CodeSystem,"Codes covering for why the treatment plan was not followed",
http://ig-ichombreastcancer.gabriellesantosleandro.com/CodeSystem/ReconstructionTypeCodeSystem,1.0.0,active,,ReconstructionTypeCodeSystem,Type of reconstruction surgery CodeSystem,"Codes indicating the type of reconstruction surgery that is performed",
http://ig-ichombreastcancer.gabriellesantosleandro.com/CodeSystem/RecurrenceCodeSystem,1.0.0,active,,RecurrenceCodeSystem,Recurrence of neoplasm CodeSystem,"Additional code covering whether there is evidence of local, regional or distant recurrence of neoplasm",
http://ig-ichombreastcancer.gabriellesantosleandro.com/CodeSystem/RecurrenceMethodCodeSystem,1.0.0,active,,RecurrenceMethodCodeSystem,Recurrence method CodeSystem,"Additional code covering combination of radiological and histological diagnosis method",
http://ig-ichombreastcancer.gabriellesantosleandro.com/CodeSystem/SatisfactionResponseCodeSystem,1.0.0,active,,SatisfactionResponseCodeSystem,Satisfaction response CodeSystem,"Codes used in a Patient Reported Outcomes Instrument to express the statisfation response",
http://ig-ichombreastcancer.gabriellesantosleandro.com/CodeSystem/TreatmentPlanComplianceCodeSystem,1.0.0,active,,TreatmentPlanComplianceCodeSystem,Observation identifiers for treatment plan non-compliance reason CodeSystem,"Codes covering observation identifiers for treatment plan non-compliance reaso",
http://ig-ichombreastcancer.gabriellesantosleandro.com/CodeSystem/TreatmentPlanFollowedCodeSystem,1.0.0,active,,TreatmentPlanFollowedCodeSystem,Real Treatment Plan Followed CodeSystem,"Codes covering if the patient followed the multidisciplinary recommended treatment plan",
http://ig-ichombreastcancer.gabriellesantosleandro.com/CodeSystem/TreatmentPlanNotFollowedCodeSystem,1.0.0,active,,TreatmentPlanNotFollowedCodeSystem,Real Treatment Plan Not Followed CodeSystem,"Codes covering if the patient has not followed the multidisciplinary recommended treatment plan",
http://ig-ichombreastcancer.gabriellesantosleandro.com/CodeSystem/TreatmentTypesCodeSystem,1.0.0,active,,TreatmentTypesCodeSystem,Treatment variables CodeSytem,"Codes defining types of treatment a breast cancer patient could receive",
