URL,Version,Status,OIDs,Name,Title,Descriptino,Used
http://hl7.org/fhir/address-type,4.0.1,active,"2.16.840.1.113883.4.642.4.70",AddressType,AddressType,"The type of an address (physical / postal).","ValueSet/address-type"
http://hl7.org/fhir/address-use,4.0.1,active,"2.16.840.1.113883.4.642.4.68",AddressUse,AddressUse,"The use of an address.","ValueSet/address-use"
http://hl7.org/fhir/administrative-gender,4.0.1,active,"2.16.840.1.113883.4.642.4.2",AdministrativeGender,AdministrativeGender,"The gender of a person used for administrative purposes.","ValueSet/administrative-gender"
http://hl7.org/fhir/care-plan-activity-status,4.0.1,draft,"2.16.840.1.113883.4.642.4.147",CarePlanActivityStatus,CarePlanActivityStatus,"Codes that reflect the current state of a care plan activity within its overall life cycle.","ValueSet/care-plan-activity-status"
http://hl7.org/fhir/event-status,4.0.1,draft,"2.16.840.1.113883.4.642.4.110",EventStatus,EventStatus,"Codes identifying the lifecycle stage of an event.","ValueSet/event-status"
http://hl7.org/fhir/identifier-use,4.0.1,active,"2.16.840.1.113883.4.642.4.58",IdentifierUse,IdentifierUse,"Identifies the purpose for this identifier, if known .","ValueSet/identifier-use"
http://hl7.org/fhir/link-type,4.0.1,active,"2.16.840.1.113883.4.642.4.424",LinkType,LinkType,"The type of link between this patient resource and another patient resource.","ValueSet/link-type"
http://hl7.org/fhir/name-use,4.0.1,active,"2.16.840.1.113883.4.642.4.66",NameUse,NameUse,"The use of a human name.","ValueSet/name-use"
http://hl7.org/fhir/observation-status,4.0.1,active,"2.16.840.1.113883.4.642.4.401",ObservationStatus,ObservationStatus,"Codes providing the status of an observation.","ValueSet/observation-status"
http://hl7.org/fhir/quantity-comparator,4.0.1,active,"2.16.840.1.113883.4.642.4.60",QuantityComparator,QuantityComparator,"How the Quantity should be understood and represented.","ValueSet/quantity-comparator"
http://hl7.org/fhir/request-intent,4.0.1,draft,"2.16.840.1.113883.4.642.4.114",RequestIntent,RequestIntent,"Codes indicating the degree of authority/intentionality associated with a request.","ValueSet/care-plan-intent"
http://hl7.org/fhir/request-status,4.0.1,draft,"2.16.840.1.113883.4.642.4.112",RequestStatus,RequestStatus,"Codes identifying the lifecycle stage of a request.","ValueSet/request-status"
http://hl7.org/fhir/resource-types,4.0.1,active,,ResourceType,ResourceType,"One of the resource types defined as part of this version of FHIR.","ValueSet/care-plan-activity-kind"
http://ig-ichombreastcancer.gabriellesantosleandro.com/CodeSystem/AgreementResponseCodeSystem,1.0.0,active,,AgreementResponseCodeSystem,Agreement response CodeSystem,"Codes used in a Patient Reported Outcomes Instrument to express the degree of agreement","ValueSet/AgreementResponseVS"
http://ig-ichombreastcancer.gabriellesantosleandro.com/CodeSystem/BreastSurgeryTypesCodeSystem,1.0.0,active,,BreastSurgeryTypesCodeSystem,Breast surgery types CodeSystem,"Codes indicating the types of breast surgery a patient underwent","ValueSet/BreastSurgeryTypeVS,ValueSet/ReoperationTypeVS,ValueSet/InvolvedMarginsReoperationTypeVS"
http://ig-ichombreastcancer.gabriellesantosleandro.com/CodeSystem/ComplicationImpactCodeSystem,1.0.0,active,,ComplicationImpactCodeSystem,Impact of complication CodeSystem,"Codes indicating the impact of a complication experienced by the breast cancer patient","ValueSet/ComplicationImpactVS"
http://ig-ichombreastcancer.gabriellesantosleandro.com/CodeSystem/ComplicationTypeCodeSystem,1.0.0,active,,ComplicationTypeCodeSystem,Type of complication CodeSystem,"Codes indicating the type of a complication experienced by the breast cancer patient","ValueSet/ComplicationTypeVS"
http://ig-ichombreastcancer.gabriellesantosleandro.com/CodeSystem/ImplantLocationCodeSystem,1.0.0,active,,ImplantLocationCodeSystem,Location of the implant CodeSystem,"Codes indicating the location of the implant that was placed during reconstruction surgery","ValueSet/ImplantLocationVS"
http://ig-ichombreastcancer.gabriellesantosleandro.com/CodeSystem/MolecularProfilingCodeSystem,1.0.0,active,,MolecularProfilingCodeSystem,Molecular Profiling CodeSystem,"Codes used to describe the different types of molecular profiling scoring","ValueSet/MolecularProfilingStatusVS"
http://ig-ichombreastcancer.gabriellesantosleandro.com/CodeSystem/PatientEducationCodeSystem,1.0.0,active,,PatientEducationCodeSystem,Patient Treatment Education Codesystem,"Codes covering if the patient received sufficient information about the treatment options","ValueSet/PatientEducationVS"
http://ig-ichombreastcancer.gabriellesantosleandro.com/CodeSystem/PatientTreatPrefCodeSystem,1.0.0,active,,PatientTreatPrefCodeSystem,Patient treatment preference CodeSystem,"Codes covering for why the treatment plan was not followed","ValueSet/PatientTreatPrefVS"
http://ig-ichombreastcancer.gabriellesantosleandro.com/CodeSystem/ReconstructionTypeCodeSystem,1.0.0,active,,ReconstructionTypeCodeSystem,Type of reconstruction surgery CodeSystem,"Codes indicating the type of reconstruction surgery that is performed","ValueSet/ReconstructionTypeVS"
http://ig-ichombreastcancer.gabriellesantosleandro.com/CodeSystem/RecurrenceCodeSystem,1.0.0,active,,RecurrenceCodeSystem,Recurrence of neoplasm CodeSystem,"Additional code covering whether there is evidence of local, regional or distant recurrence of neoplasm","ValueSet/RecurrenceVS"
http://ig-ichombreastcancer.gabriellesantosleandro.com/CodeSystem/RecurrenceMethodCodeSystem,1.0.0,active,,RecurrenceMethodCodeSystem,Recurrence method CodeSystem,"Additional code covering combination of radiological and histological diagnosis method","ValueSet/RecurrenceMethodVS"
http://ig-ichombreastcancer.gabriellesantosleandro.com/CodeSystem/SatisfactionResponseCodeSystem,1.0.0,active,,SatisfactionResponseCodeSystem,Satisfaction response CodeSystem,"Codes used in a Patient Reported Outcomes Instrument to express the statisfation response","ValueSet/SatisfactionResponseVS"
http://ig-ichombreastcancer.gabriellesantosleandro.com/CodeSystem/TreatmentPlanComplianceCodeSystem,1.0.0,active,,TreatmentPlanComplianceCodeSystem,Observation identifiers for treatment plan non-compliance reason CodeSystem,"Codes covering observation identifiers for treatment plan non-compliance reaso","ValueSet/TreatmentPlanComplianceVS"
http://ig-ichombreastcancer.gabriellesantosleandro.com/CodeSystem/TreatmentPlanFollowedCodeSystem,1.0.0,active,,TreatmentPlanFollowedCodeSystem,Real Treatment Plan Followed CodeSystem,"Codes covering if the patient followed the multidisciplinary recommended treatment plan","ValueSet/TreatmentPlanFollowedVS"
http://ig-ichombreastcancer.gabriellesantosleandro.com/CodeSystem/TreatmentPlanNotFollowedCodeSystem,1.0.0,active,,TreatmentPlanNotFollowedCodeSystem,Real Treatment Plan Not Followed CodeSystem,"Codes covering if the patient has not followed the multidisciplinary recommended treatment plan","ValueSet/TreatmentPlanNotFollowedVS"
http://ig-ichombreastcancer.gabriellesantosleandro.com/CodeSystem/TreatmentTypesCodeSystem,1.0.0,active,,TreatmentTypesCodeSystem,Treatment variables CodeSytem,"Codes defining types of treatment a breast cancer patient could receive","ValueSet/RecommendedTreatmentTypeVS,ValueSet/TreatmentTypeVS"
http://loinc.org,3.1.0,active,"2.16.840.1.113883.6.1",LOINC,Logical Observation Identifiers, Names and Codes (LOINC),"LOINC provides a set of universal names and ID codes for identifying laboratory and clinical test results.1,2 LOINC facilitates the exchange and pooling of results, such as blood hemoglobin, serum potassium, or vital signs, for clinical care, outcomes management, and research. LOINC's universal identifiers (names and codes) can be used in the context of order and observation exchanges between information systems that use syntax standards such as HL73, CEN TC251, ISO TC215, ASTM4, and DICOM. Specifically, the identifier can be used as the coded value for an observation in any other standard that uses the observation/observation value paradigm, whether messages, documents, application programming interface (API), etc. For example, LOINC codes are used widely in the OBX segment Observation Identifier field (OBX-3) of an ORU HL7 (HL7 version 2.x or ASTM 1238-9410) message that may be sent between a Clinical Laboratory Information Management Systems (LIMS) and Electronic Health Record Systems (EHR).5, 6 In this way, LOINC codes provide universal identifiers that allow the exchange of clinical data between heterogeneous computing environments.","ValueSet/TNMStageGroupVS,ValueSet/observation-codes,ValueSet/observation-vitalsignresult"
